Date,AUD_USD_Rate
2020-10-01,0.72014
2020-10-02,0.71647
2020-10-05,0.71848
2020-10-06,0.71606
2020-10-07,0.71333
2020-10-08,0.71646
2020-10-09,0.71899
2020-10-12,0.72134
2020-10-13,0.71859
2020-10-14,0.71743
2020-10-15,0.70666
2020-10-16,0.70921
2020-10-19,0.71101
2020-10-20,0.70293
2020-10-21,0.7083
2020-10-22,0.71023
2020-10-23,0.71516
2020-10-26,0.71233
2020-10-27,0.71342
2020-10-28,0.70632
2020-10-29,0.70197
2020-10-30,0.70627
2020-11-02,0.70477
2020-11-03,0.71328
2020-11-04,0.71706
2020-11-05,0.72481
2020-11-06,0.72559
2020-11-09,0.73198
2020-11-10,0.72723
2020-11-11,0.72755
2020-11-12,0.72502
2020-11-13,0.72485
2020-11-16,0.72908
2020-11-17,0.73183
2020-11-18,0.73142
2020-11-19,0.72714
2020-11-20,0.73107
2020-11-23,0.73314
2020-11-24,0.73354
2020-11-25,0.7344
2020-11-26,0.73625
2020-11-27,0.73674
2020-11-30,0.73741
2020-12-01,0.73541
2020-12-02,0.73645
2020-12-03,0.74268
2020-12-04,0.74199
2020-12-07,0.74069
2020-12-08,0.74164
2020-12-09,0.74816
2020-12-10,0.74964
2020-12-11,0.7537
2020-12-14,0.7571
2020-12-15,0.75343
2020-12-16,0.75694
2020-12-17,0.7629
2020-12-18,0.7611
2020-12-21,0.75142
2020-12-22,0.75591
2020-12-23,0.75481
2020-12-24,0.76021
2020-12-28,0.75975
2020-12-29,0.76044
2020-12-30,0.76637
2020-12-31,0.77196
2021-01-04,0.77197
2021-01-05,0.77045
2021-01-06,0.7797
2021-01-07,0.7752
2021-01-08,0.77738
2021-01-11,0.77064
2021-01-12,0.77252
2021-01-13,0.77323
2021-01-14,0.77509
2021-01-15,0.77315
2021-01-18,0.76738
2021-01-19,0.77161
2021-01-20,0.77244
2021-01-21,0.77761
2021-01-22,0.77096
2021-01-25,0.77263
2021-01-26,0.773
2021-01-27,0.76944
2021-01-28,0.75977
2021-01-29,0.76718
2021-02-01,0.76331
2021-02-02,0.76002
2021-02-03,0.76149
2021-02-04,0.76276
2021-02-05,0.76029
2021-02-08,0.76627
2021-02-09,0.77189
2021-02-10,0.77331
2021-02-11,0.77676
2021-02-12,0.77288
2021-02-15,0.7774
2021-02-16,0.77775
2021-02-17,0.77442
2021-02-18,0.77871
2021-02-19,0.78595
2021-02-22,0.78827
2021-02-23,0.78963
2021-02-24,0.79143
2021-02-25,0.79813
2021-02-26,0.77674
2021-03-01,0.77412
2021-03-02,0.77992
2021-03-03,0.77955
2021-03-04,0.77895
2021-03-05,0.76698
2021-03-08,0.7656
2021-03-09,0.77034
2021-03-10,0.77071
2021-03-11,0.77802
2021-03-12,0.77517
2021-03-15,0.77307
2021-03-16,0.77492
2021-03-17,0.77183
2021-03-18,0.77618
2021-03-19,0.7739
2021-03-22,0.77442
2021-03-23,0.76709
2021-03-24,0.76133
2021-03-25,0.75907
2021-03-26,0.76215
2021-03-29,0.76529
2021-03-30,0.76146
2021-03-31,0.76077
2021-04-01,0.75781
2021-04-06,0.76295
2021-04-07,0.76272
2021-04-08,0.76408
2021-04-09,0.76308
2021-04-12,0.76244
2021-04-13,0.76003
2021-04-14,0.76885
2021-04-15,0.77486
2021-04-16,0.77534
2021-04-19,0.7769
2021-04-20,0.77789
2021-04-21,0.77196
2021-04-22,0.77312
2021-04-23,0.77396
2021-04-26,0.77877
2021-04-27,0.77821
2021-04-28,0.77491
2021-04-29,0.7798
2021-04-30,0.77543
2021-05-03,0.77339
2021-05-04,0.77018
2021-05-05,0.77402
2021-05-06,0.77571
2021-05-07,0.77685
2021-05-10,0.78851
2021-05-11,0.78471
2021-05-12,0.7805
2021-05-13,0.77082
2021-05-14,0.77543
2021-05-17,0.77428
2021-05-18,0.78086
2021-05-19,0.77463
2021-05-20,0.77548
2021-05-21,0.7764
2021-05-24,0.77272
2021-05-25,0.77694
2021-05-26,0.77733
2021-05-27,0.77433
2021-05-28,0.76868
2021-05-31,0.77344
2021-06-01,0.77408
2021-06-02,0.77342
2021-06-03,0.77172
2021-06-04,0.7667
2021-06-07,0.77574
2021-06-08,0.77503
2021-06-09,0.77522
2021-06-10,0.77389
2021-06-11,0.77293
2021-06-14,0.77166
2021-06-15,0.76915
2021-06-16,0.7713
2021-06-17,0.75728
2021-06-18,0.75152
2021-06-21,0.7516
2021-06-22,0.75193
2021-06-23,0.75822
2021-06-24,0.75755
2021-06-25,0.75989
2021-06-28,0.75605
2021-06-29,0.75188
2021-06-30,0.74964
2021-07-01,0.75044
2021-07-02,0.74659
2021-07-05,0.75292
2021-07-06,0.75724
2021-07-07,0.75304
2021-07-08,0.74187
2021-07-09,0.74729
2021-07-12,0.74597
2021-07-13,0.74773
2021-07-14,0.74679
2021-07-15,0.74383
2021-07-16,0.74194
2021-07-19,0.7334
2021-07-20,0.73219
2021-07-21,0.73168
